text,token,attribution_score,label
Solicitei cancelamento da compra Prazo de entrega muito demorado,Solicitei,0.12054547009313803,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,cancelamento,0.18078248051244084,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,da,0.07845017443251504,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,compra,0.12094709932948475,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,Prazo,0.13868094232855926,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,de,0.047620135093889224,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,entrega,0.1389475787600373,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,muito,0.11494990090134119,negative
Solicitei cancelamento da compra Prazo de entrega muito demorado,demorado,0.14711141741815767,negative
Super rápido a entrega Ficou surpresa com a rapidez,Super,0.24878903487583368,positive
Super rápido a entrega Ficou surpresa com a rapidez,rápido,0.22920087625778326,positive
Super rápido a entrega Ficou surpresa com a rapidez,a,0.09035865473588674,positive
Super rápido a entrega Ficou surpresa com a rapidez,entrega,0.1825183770275976,positive
Super rápido a entrega Ficou surpresa com a rapidez,Ficou,0.22898103569092143,positive
Super rápido a entrega Ficou surpresa com a rapidez,surpresa,0.43916429585408356,positive
Super rápido a entrega Ficou surpresa com a rapidez,com,0.10367713804318493,positive
Super rápido a entrega Ficou surpresa com a rapidez,a,0.07674829627016516,positive
Super rápido a entrega Ficou surpresa com a rapidez,rapidez,0.1917061295233095,positive
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,paguei,0.24817518114211592,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,frete,0.16863702314145715,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,mas,0.21826651482935708,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,tive,0.22652333587266282,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,que,0.1325076825586648,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,retirar,0.2837876105462292,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,o,0.09314120680474515,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,produto,0.15825903563785335,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,nos,0.12872851952404432,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,correios,0.19085311347098843,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,quero,0.3859398543349282,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,o,0.12873271019204433,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,valor,0.28136665891401397,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,só,0.2554539178796918,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,frete,0.25099309992974767,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,de,0.14834493817209096,negative
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,volta,0.34641511118877766,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,Sei,0.4019824870712304,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,que,0.1295489676594435,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,o,0.0859206208628294,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,atraso,0.3075578057109445,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,da,0.09830779836795281,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,entrega,0.38446305399008845,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,ocorreu,0.21052979248097914,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,em,0.08062564585136935,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,virtude,0.18273641635426788,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,da,0.08297090087899041,negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,paralisação,0.2379049541345337,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,Considero,0.09151297587828461,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,como,0.053759754972759505,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,alegação,0.08717036805724394,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,infundada,0.12385133689966095,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,informando,0.060677517768378514,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,que,0.03538058756850175,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,o,0.03417302305390058,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,produto,0.05741390180916849,negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,estava,0.05468003194938735,negative
